Pixels,Value
131.8, 60544
131.9, 60544
132, 60544
132.1, 60544
132.2, 60544
132.3, 60544
132.4, 60544
132.5, 60544
132.6, 60544
132.7, 62848
132.8, 62848
132.9, 62848
133, 62848
133.1, 62848
133.2, 62848
133.3, 62848
133.4, 62848
133.5, 62848
133.6, 62848
133.7, 61376
133.8, 61376
133.9, 61376
134, 61376
134.1, 61376
134.2, 61376
134.3, 61376
134.4, 61376
134.5, 61376
134.6, 61376
134.7, 61504
134.8, 61504
134.9, 61504
135, 61504
135.1, 61504
135.2, 61504
135.3, 61504
135.4, 61504
135.5, 61504
135.6, 61504
135.7, 61760
135.8, 61760
135.9, 61760
136, 61760
136.1, 61760
136.2, 61760
136.3, 61760
136.4, 61760
136.5, 61760
136.6, 61760
136.7, 61504
136.8, 61504
136.9, 61504
137, 61504
137.1, 61504
137.2, 61504
137.3, 61504
137.4, 61504
137.5, 61504
137.6, 61504
137.7, 59328
137.8, 59328
137.9, 59328
138, 59328
138.1, 59328
138.2, 59328
138.3, 59328
138.4, 59328
138.5, 59328
138.6, 59328
138.7, 61632
138.8, 61632
138.9, 61632
139, 61632
139.1, 61632
139.2, 61632
139.3, 61632
139.4, 61632
139.5, 61632
139.6, 61632
139.7, 60992
139.8, 60992
139.9, 60992
140, 60992
140.1, 60992
140.2, 60992
140.3, 60992
140.4, 60992
140.5, 60992
140.6, 60992
140.7, 61824
140.8, 61824
140.9, 61824
141, 61824
141.1, 61824
141.2, 61824
141.3, 61824
141.4, 61824
141.5, 61824
141.6, 61824
141.7, 60928
141.8, 60928
141.9, 60928
142, 60928
142.1, 60928
142.2, 60928
142.3, 60928
142.4, 60928
142.5, 60928
142.6, 60928
142.7, 61120
142.8, 61120
142.9, 61120
143, 61120
143.1, 61120
143.2, 61120
143.3, 61120
143.4, 61120
143.5, 61120
143.6, 61120
143.7, 61888
143.8, 61888
143.9, 61888
144, 61888
144.1, 61888
144.2, 61888
144.3, 61888
144.4, 61888
144.5, 61888
144.6, 61888
144.7, 60736
144.8, 60736
144.9, 60736
145, 60736
145.1, 60736
145.2, 60736
145.3, 60736
145.4, 60736
145.5, 60736
145.6, 60736
145.7, 61440
145.8, 61440
145.9, 61440
146, 61440
146.1, 61440
146.2, 61440
146.3, 61440
146.4, 61440
146.5, 61440
146.6, 61440
146.7, 59904
146.8, 59904
146.9, 59904
147, 59904
147.1, 59904
147.2, 59904
147.3, 59904
147.4, 59904
147.5, 59904
147.6, 59904
147.7, 61504
147.8, 61504
147.9, 61504
148, 61504
148.1, 61504
148.2, 61504
148.3, 61504
148.4, 61504
148.5, 61504
148.6, 61504
148.7, 61440
148.8, 61440
148.9, 61440
149, 61440
149.1, 61440
149.2, 61440
149.3, 61440
149.4, 61440
149.5, 61440
149.6, 61440
149.7, 61440
149.8, 61440
149.9, 61440
150, 61440
150.1, 61440
150.2, 61440
150.3, 61440
150.4, 61440
150.5, 61440
150.6, 61440
150.7, 61824
150.8, 61824
150.9, 61824
151, 61824
151.1, 61824
151.2, 61824
151.3, 61824
151.4, 61824
151.5, 61824
151.6, 61824
151.7, 60928
151.8, 60928
151.9, 60928
152, 60928
152.1, 60928
152.2, 60928
152.3, 60928
152.4, 60928
152.5, 60928
152.6, 60928
152.7, 60736
152.8, 60736
152.9, 60736
153, 60736
153.1, 60736
153.2, 60736
153.3, 60736
153.4, 60736
153.5, 60736
153.6, 60736
153.7, 62016
153.8, 62016
153.9, 62016
154, 62016
154.1, 62016
154.2, 62016
154.3, 62016
154.4, 62016
154.5, 62016
154.6, 62016
154.7, 62016
154.8, 62016
154.9, 62016
155, 62016
155.1, 62016
155.2, 62016
155.3, 62016
155.4, 62016
155.5, 62016
155.6, 62016
155.7, 61952
155.8, 61952
155.9, 61952
156, 61952
156.1, 61952
156.2, 61952
156.3, 61952
156.4, 61952
156.5, 61952
156.6, 61952
156.7, 60608
156.8, 60608
156.9, 60608
157, 60608
157.1, 60608
157.2, 60608
157.3, 60608
157.4, 60608
157.5, 60608
157.6, 60608
157.7, 61120
157.8, 61120
157.9, 61120
158, 61120
158.1, 61120
158.2, 61120
158.3, 61120
158.4, 61120
158.5, 61120
158.6, 61120
158.7, 60992
158.8, 60992
158.9, 60992
159, 60992
159.1, 60992
159.2, 60992
159.3, 60992
159.4, 60992
159.5, 60992
159.6, 60992
159.7, 60480
159.8, 60480
159.9, 60480
160, 60480
160.1, 60480
160.2, 60480
160.3, 60480
160.4, 60480
160.5, 60480
160.6, 60480
160.7, 61056
160.8, 61056
160.9, 61056
161, 61056
161.1, 61056
161.2, 61056
161.3, 61056
161.4, 61056
161.5, 61056
161.6, 61056
161.7, 61632
161.8, 61632
161.9, 61632
162, 61632
162.1, 61632
162.2, 61632
162.3, 61632
162.4, 61632
162.5, 61632
162.6, 61632
162.7, 60736
162.8, 60736
162.9, 60736
163, 60736
163.1, 60736
163.2, 60736
163.3, 60736
163.4, 60736
163.5, 60736
163.6, 60736
163.7, 61632
163.8, 61632
163.9, 61632
164, 61632
164.1, 61632
164.2, 61632
164.3, 61632
164.4, 61632
164.5, 61632
164.6, 61632
164.7, 61952
164.8, 61952
164.9, 61952
165, 61952
165.1, 61952
165.2, 61952
165.3, 61952
165.4, 61952
165.5, 61952
165.6, 61952
165.7, 61504
165.8, 61504
165.9, 61504
166, 61504
166.1, 61504
166.2, 61504
166.3, 61504
166.4, 61312
166.5, 61312
166.6, 61312
166.7, 61888
166.8, 61888
166.9, 61888
167, 61888
167.1, 61888
167.2, 61888
167.3, 61888
167.4, 61888
167.5, 61888
167.6, 61888
